"Advanced Search","Ricerca Avanzata"
"Popular Queries","Ricerche Popolari"
"No Results Queries","Ricerche Senza Risultati"
"Synonyms","Sinonimi"
"Popular Search Queries","Ricerche Popolari"
"Search Queries With No Results","Ricerche Senza Risultati"
"Search Synonyms","Sinonimi di Ricerca"
"Add New Synonym","Aggiungi Nuovo Sinonimo"
"Select Store View:","Seleziona Vista Negozio:"
"All Store Views","Tutte le Viste Negozio"
"Collection: %s","Collezione: %s"
"Create Analytics Rules","Crea Regole Analytics"
"Search Query","Termine di Ricerca"
"Search Count","Numero Ricerche"
"ID","ID"
"Type","Tipo"
"Root Term","Termine Principale"
"Terms","Termini"
"Action","Azione"
"Edit","Modifica"
"Delete","Elimina"
"Are you sure you want to delete this synonym?","Sei sicuro di voler eliminare questo sinonimo?"
"Are you sure you want to delete selected synonyms?","Sei sicuro di voler eliminare i sinonimi selezionati?"
"Save Synonym","Salva Sinonimo"
"Save and Continue Edit","Salva e Continua a Modificare"
"Delete Synonym","Elimina Sinonimo"
"Edit Synonym: %s","Modifica Sinonimo: %s"
"New Synonym","Nuovo Sinonimo"
"Synonym Information","Informazioni Sinonimo"
"Collection","Collezione"
"Synonym ID","ID Sinonimo"
"The ID cannot be changed after creation.","L'ID non può essere modificato dopo la creazione."
"Leave empty to auto-generate from synonyms. Use lowercase letters, numbers, and hyphens only.","Lascia vuoto per generare automaticamente dai sinonimi. Usa solo lettere minuscole, numeri e trattini."
"Synonym Type","Tipo di Sinonimo"
"Multi-way (all terms are equivalent)","Multi-direzionale (tutti i termini sono equivalenti)"
"One-way (root term includes synonyms)","Uni-direzionale (il termine principale include i sinonimi)"
"Multi-way: searching for any term returns all. One-way: only root term triggers synonym expansion.","Multi-direzionale: cercando qualsiasi termine si ottengono tutti. Uni-direzionale: solo il termine principale attiva l'espansione dei sinonimi."
"Root Term","Termine Principale"
"The main search term. Searches for this term will include the synonyms below.","Il termine di ricerca principale. Le ricerche per questo termine includeranno i sinonimi sottostanti."
"Synonyms","Sinonimi"
"Enter each synonym on a new line, or separate with commas. For multi-way synonyms, all terms are treated as equivalent. For one-way synonyms, these terms will be matched when searching for the root term.","Inserisci ogni sinonimo su una nuova riga, o separa con virgole. Per sinonimi multi-direzionali, tutti i termini sono trattati come equivalenti. Per sinonimi uni-direzionali, questi termini saranno trovati quando si cerca il termine principale."
"Catalog","Catalogo"
"Collection name is not configured for this store.","Il nome della collezione non è configurato per questo negozio."
"Current search engine does not support analytics.","Il motore di ricerca corrente non supporta le analytics."
"Analytics rules have been created successfully for collection ""%s"".","Le regole analytics sono state create con successo per la collezione ""%s""."
"Some analytics rules could not be created. Check logs for details.","Alcune regole analytics non sono state create. Controlla i log per i dettagli."
"Current search engine does not support synonyms.","Il motore di ricerca corrente non supporta i sinonimi."
"Synonym not found.","Sinonimo non trovato."
"Please enter at least one synonym.","Inserisci almeno un sinonimo."
"Synonym ""%s"" has been saved successfully.","Il sinonimo ""%s"" è stato salvato con successo."
"Invalid synonym ID.","ID sinonimo non valido."
"Synonym ""%s"" has been deleted.","Il sinonimo ""%s"" è stato eliminato."
"Could not delete synonym ""%s"".","Impossibile eliminare il sinonimo ""%s""."
"Please select synonyms to delete.","Seleziona i sinonimi da eliminare."
"%d synonym(s) have been deleted.","%d sinonimo/i è/sono stato/i eliminato/i."
"Multi-way","Multi-direzionale"
"One-way","Uni-direzionale"
